Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
50;M;2013;Hector;391
5;F;2010;Heidi;15
8;F;2009;Helena;40
10;F;2016;Helena;102
6;F;2010;Héléna;34
8;F;2013;Héléna;49
5;F;2013;Hélèna;27
37;F;2005;Hélène;71
13;F;2017;Hélène;320
6;M;2010;Hélie;12
5;M;2014;Hélie;30
9;M;2018;Hélios;16
66;F;2004;Héloïse;66
87;F;2016;Héloïse;1061
26;M;2007;Henri;111
26;M;2008;Henri;137
24;M;2010;Henri;181
37;M;2018;Henri;468
6;M;2004;Henry;6
7;M;2011;Henry;57
11;M;2018;Henry;129
8;F;2014;Hermance;8
8;F;2018;Hermine;91
7;F;2014;Hiba;40
5;M;2004;Hicham;5
5;F;2014;Hidaya;5
7;F;2009;Hind;15
7;F;2015;Hind;52
40;M;2005;Hippolyte;75
21;M;2016;Hippolyte;409
5;M;2018;Honoré;40
20;F;2005;Hortense;42
30;F;2009;Hortense;141
17;F;2012;Hortense;211
27;F;2014;Hortense;265
23;F;2016;Hortense;322
158;M;2007;Hugo;686
170;M;2014;Hugo;1803
116;M;2017;Hugo;2175
132;M;2018;Hugo;2307
9;M;2005;Hugues;21
7;M;2005;Ian;13
7;M;2009;Ian;38
5;M;2008;Ianis;5
33;M;2004;Ibrahim;33
43;M;2006;Ibrahim;128
48;M;2008;Ibrahim;218
46;M;2009;Ibrahim;264
71;M;2016;Ibrahim;715
19;M;2004;Ibrahima;19
19;M;2010;Ibrahima;132
17;M;2013;Ibrahima;183
23;M;2017;Ibrahima;275
11;M;2005;Idir;11
5;M;2006;Idris;11
7;M;2011;Idris;43
10;M;2018;Idris;105
10;M;2008;Idriss;61
32;M;2017;Idriss;254
30;M;2018;Idriss;284
5;M;2008;Idrissa;13
8;M;2011;Idrissa;26
10;M;2004;Igor;10
